epoch,acc,learning_rate,loss,tol1_acc,top2_acc,val_acc,val_loss,val_tol1_acc,val_top2_acc
0,0.39132440090179443,0.0003000000142492354,2.5840811729431152,0.538532555103302,0.48407936096191406,0.14766958355903625,3.505053997039795,0.290724515914917,0.285648375749588
1,0.6391324400901794,0.0003000000142492354,1.7753121852874756,0.7318874001502991,0.7351176738739014,0.14305491745471954,2.936581611633301,0.2861098349094391,0.39270880818367004
2,0.7351176738739014,0.0003000000142492354,1.4786590337753296,0.8006460666656494,0.8357175588607788,0.7397323250770569,1.821467399597168,0.7808029651641846,0.8029533624649048
3,0.807106614112854,0.0003000000142492354,1.2841355800628662,0.8541762828826904,0.8924781084060669,0.8375634551048279,1.490325689315796,0.8684817552566528,0.88278728723526
4,0.8574065566062927,0.0003000000142492354,1.1582883596420288,0.8980156779289246,0.9317027926445007,0.48269498348236084,1.9889869689941406,0.5149977207183838,0.7166589498519897
5,0.8730964660644531,0.0003000000142492354,1.097885012626648,0.9072450399398804,0.9418550729751587,0.4203968644142151,2.0609867572784424,0.44808492064476013,0.6802030205726624
6,0.8966313004493713,0.0003000000142492354,1.0408833026885986,0.9353945255279541,0.9524688720703125,0.5782187581062317,1.8075871467590332,0.6063682436943054,0.7448084950447083
7,0.9123212099075317,0.0003000000142492354,1.003783941268921,0.9478541612625122,0.9543147087097168,0.8306414484977722,1.3724273443222046,0.8680202960968018,0.8998615741729736
8,0.9233964085578918,0.0003000000142492354,0.9728058576583862,0.9492385983467102,0.969081699848175,0.7604984045028687,1.611043930053711,0.7918781638145447,0.8574065566062927
9,0.9326257705688477,0.0003000000142492354,0.9555391669273376,0.9598523378372192,0.967697262763977,0.9155514240264893,0.925868034362793,0.9455468654632568,0.9616981744766235
10,0.9321643114089966,0.0003000000142492354,0.9305691123008728,0.9589294195175171,0.9718504548072815,0.8938624858856201,1.1616894006729126,0.9197046756744385,0.9284725189208984
11,0.9413936138153076,0.0003000000142492354,0.9193796515464783,0.9644669890403748,0.9746192693710327,0.9386247992515564,0.8258260488510132,0.9621596932411194,0.9704660773277283
12,0.9501615166664124,0.0003000000142492354,0.8886763453483582,0.9649284482002258,0.9815412759780884,0.9063221216201782,1.062901258468628,0.9284725189208984,0.934471607208252
