run,mean,median,std,min,max,p05,p95,iqr,count
amazon clean HH,10.81010675133727,10.822035789489746,0.18181283149687819,9.795841217041016,11.478699684143066,10.492472839355468,11.08447265625,0.24776458740234375,60937
amazon clean HV,10.820179816406693,10.830964088439941,0.18184321889735774,8.722798347473145,11.498055458068848,10.50753173828125,11.097936248779297,0.24922561645507812,60909
amazon contam rfi HH,3.2757882149741984,2.7521514892578125,1.986798822796557,1.0898531675338745,11.267179489135742,1.2716655015945435,8.169674015045164,1.7847362756729126,366219
amazon contam rfi HV,3.27735454968683,2.7462172508239746,1.9954383897444499,1.0849285125732422,11.238302230834961,1.2710063815116883,8.209792613983156,1.7811390161514282,366247
berlin clean HH,10.298761062050712,10.538270950317383,0.896400102488704,1.6864854097366333,11.600382804870605,8.570090770721436,11.159966373443604,0.7662427425384521,23660
berlin clean HV,10.694255634052233,10.751196384429932,0.41854398916901914,6.08820104598999,11.582601547241211,9.955546855926514,11.229881620407104,0.460254430770874,24742
czech clean HH,10.391922028561567,10.637019157409668,0.8383047889052277,5.206236839294434,11.4743070602417,8.539670944213867,11.168991088867188,0.664576530456543,2241
czech clean HV,10.709601884918948,10.770782470703125,0.4062303846071517,6.958357334136963,11.5778169631958,9.981181287765503,11.260730934143066,0.48985815048217773,4358
czech contam rfi HH,6.69833765497887,6.544398069381714,1.4183715922896802,2.7453196048736572,10.87874698638916,4.548294615745545,9.4391713142395,1.8027764558792114,13674
czech contam rfi HV,6.679753917801537,6.479939937591553,1.4920777955655105,3.2180309295654297,11.388290405273438,4.50370979309082,9.620033264160156,1.886244773864746,25971
